Income,DebtToIncomeRatio,UtilityTimeliness,SocialSentiment,GeolocationScore,Default
141958,0.73,0,0.38,0.5,1
35795,0.51,0,0.92,0.6,0
20860,0.19,1,0.59,0.49,1
123694,0.18,1,0.47,0.76,1
148106,0.6,1,0.64,0.78,0
139879,0.23,1,0.74,0.67,0
130268,0.33,0,0.51,0.83,0
96820,0.44,0,0.77,0.92,0
74886,0.12,1,0.46,0.87,0
26265,0.27,0,0.37,0.54,1
102386,0.39,1,0.66,0.59,1
148214,0.3,1,0.4,0.63,0
57194,0.2,1,0.91,0.52,0
107498,0.61,1,0.3,0.62,0
132727,0.67,1,0.79,0.54,0
146324,0.28,1,0.48,1.0,0
64131,0.64,0,0.85,0.87,0
80263,0.37,1,0.34,0.92,0
36023,0.45,0,0.92,0.95,0
61090,0.7,0,0.37,0.8,0
87221,0.62,1,0.81,0.51,0
84820,0.66,1,0.64,0.86,0
20769,0.2,0,0.58,0.41,1
79735,0.15,0,0.48,0.47,1
82955,0.73,0,0.85,0.42,0
84925,0.37,1,0.43,0.48,0
141637,0.3,1,0.77,0.85,0
87969,0.61,0,0.59,0.93,0
25311,0.69,1,0.95,0.57,0
123355,0.7,1,0.7,0.47,0
124724,0.32,1,0.37,0.56,1
103104,0.7,1,0.57,0.79,0
73707,0.13,1,0.34,0.61,0
105305,0.13,1,0.49,0.98,0
48693,0.54,1,0.52,0.48,0
91932,0.14,0,0.85,0.99,0
147723,0.33,1,0.84,0.41,0
113016,0.57,1,0.31,0.67,0
126970,0.34,0,0.65,0.55,1
45658,0.23,0,0.45,0.74,0
104478,0.3,0,0.51,0.46,0
142537,0.42,1,0.31,0.93,1
38431,0.43,0,0.79,0.48,0
22747,0.65,1,0.92,0.75,0
143855,0.63,1,0.44,0.42,0
79150,0.42,1,0.52,0.59,0
85725,0.69,1,0.43,0.49,0
149981,0.18,1,0.9,0.99,1
104654,0.28,0,0.31,0.41,0
55773,0.68,1,0.68,0.61,1
139346,0.36,0,0.87,0.58,0
87435,0.79,1,0.42,0.79,0
76886,0.43,1,0.68,0.43,0
86803,0.65,1,0.33,0.89,0
51551,0.38,1,0.83,0.68,0
136216,0.4,0,0.48,0.67,1
31394,0.37,1,0.94,0.54,0
89092,0.6,1,0.9,0.69,0
23890,0.48,0,0.78,0.62,1
61606,0.76,1,0.62,0.55,0
116276,0.28,1,0.8,0.5,0
145768,0.17,1,0.38,0.84,0
100038,0.38,1,0.5,0.49,1
107313,0.53,0,0.32,0.5,0
30627,0.7,1,0.72,0.75,1
28792,0.34,1,0.82,0.54,0
128859,0.56,0,0.92,0.68,0
128557,0.35,1,0.75,0.73,0
93969,0.53,0,0.78,0.56,0
63001,0.72,1,0.88,0.61,0
96552,0.26,0,0.91,0.53,0
43897,0.38,1,0.62,0.68,1
88148,0.8,1,0.37,1.0,0
141729,0.71,1,0.6,0.62,1
144243,0.5,0,0.66,0.79,0
140923,0.46,1,0.71,0.78,0
140174,0.3,1,0.94,0.87,0
43483,0.46,0,0.9,0.83,0
144358,0.69,1,0.56,0.41,0
68555,0.58,1,0.37,0.59,1
145436,0.3,1,0.44,0.92,0
37159,0.24,0,0.41,0.72,0
130510,0.29,1,0.53,0.46,1
126530,0.22,0,0.87,0.57,0
100077,0.17,1,0.58,0.57,0
55920,0.39,0,0.67,0.92,0
112067,0.18,1,0.42,0.73,0
87121,0.22,1,0.62,0.76,0
89479,0.48,0,0.87,0.62,0
109475,0.22,1,0.8,0.44,1
39457,0.14,1,0.35,0.45,0
86557,0.32,0,0.86,0.65,0
97189,0.25,1,0.48,0.51,0
129109,0.46,1,0.73,0.46,0
98953,0.17,1,0.4,0.56,1
72995,0.63,1,0.74,0.85,0
60757,0.73,1,0.32,0.44,0
29692,0.62,1,0.69,0.67,0
65758,0.47,1,0.72,0.9,0
149425,0.7,1,0.46,0.56,1
92409,0.59,1,0.91,0.58,0
91211,0.11,1,0.33,0.93,0
85697,0.38,1,0.88,0.79,0
57065,0.7,1,0.55,0.88,0
112093,0.34,0,0.76,0.57,1
119299,0.12,0,0.72,1.0,0
149293,0.62,1,0.41,0.48,0
52606,0.66,0,0.51,0.98,1
147791,0.21,1,0.64,0.94,0
31534,0.48,0,0.85,0.73,0
114663,0.23,0,0.92,0.75,1
60397,0.6,0,0.31,0.87,0
146678,0.29,1,0.53,0.58,0
111387,0.32,0,0.73,0.72,0
21016,0.69,1,0.64,0.94,1
109789,0.43,1,0.91,0.44,0
75591,0.57,1,0.31,0.94,1
109812,0.38,1,0.58,0.84,0
43247,0.31,1,0.73,0.86,0
